                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                   1.28,                 1.3825,                 1.4118,                0.81218,                0.72585,                0.80955,                0.54241,                 1.1788,                0.94483,                 1.3071,               0.007591,               0.007591,               0.007591
                     75,                 1.2785,                 1.3783,                 1.4072,                0.81285,                0.72634,                0.80988,                  0.543,                  1.178,                0.94253,                 1.3064,               0.007558,               0.007558,               0.007558
                     76,                 1.2748,                 1.3828,                 1.4067,                0.81345,                0.72677,                0.81106,                0.54388,                 1.1775,                0.93973,                 1.3057,               0.007525,               0.007525,               0.007525
                     77,                 1.2783,                 1.3778,                 1.4079,                0.81447,                0.72727,                0.81136,                0.54404,                 1.1775,                0.93918,                 1.3056,               0.007492,               0.007492,               0.007492
                     78,                  1.278,                 1.3761,                 1.4094,                0.81465,                0.72739,                0.81201,                0.54438,                 1.1766,                0.93814,                 1.3049,               0.007459,               0.007459,               0.007459
                     79,                 1.2756,                 1.3729,                  1.407,                 0.8159,                0.72617,                  0.812,                0.54472,                 1.1763,                0.93731,                 1.3045,               0.007426,               0.007426,               0.007426
                     80,                 1.2784,                 1.3763,                 1.4034,                0.81553,                0.72805,                0.81273,                0.54506,                 1.1761,                0.93546,                 1.3037,               0.007393,               0.007393,               0.007393
                     81,                 1.2771,                 1.3681,                 1.4033,                0.81859,                0.72543,                0.81289,                0.54543,                 1.1757,                0.93461,                  1.303,                0.00736,                0.00736,                0.00736
                     82,                 1.2723,                 1.3634,                 1.4016,                0.82003,                0.72464,                 0.8128,                0.54521,                 1.1761,                0.93327,                  1.303,               0.007327,               0.007327,               0.007327
                     83,                 1.2737,                 1.3698,                 1.4039,                0.82074,                0.72607,                0.81387,                0.54581,                 1.1753,                0.93166,                 1.3023,               0.007294,               0.007294,               0.007294
                     84,                 1.2705,                 1.3661,                 1.4022,                0.82095,                0.72666,                0.81459,                 0.5462,                 1.1751,                0.93019,                 1.3018,               0.007261,               0.007261,               0.007261
                     85,                 1.2746,                 1.3685,                 1.4049,                0.82014,                0.72753,                 0.8153,                0.54688,                  1.175,                0.92792,                 1.3017,               0.007228,               0.007228,               0.007228
